year,touches-mean,touches-std,net%-mean,net%-std,ny/a-mean,ny/a-std,ypc-mean,ypc-std,td:touch-mean,td:touch-std,to:touch-mean,to:touch-std
2004,31.866666666666667,10.502878070376424,0.5725720545101166,0.14304080933265176,6.715152895226318,2.555071181037473,3.092216397262268,3.9451026863437977,0.05171409597399275,0.042364041128639854,0.02943447284124154,0.04932127988457989
2005,32.053892215568865,12.649709499512133,0.5701669299088008,0.1418956324970526,6.418417181736746,2.861415570395262,3.3242766287210737,4.009612481691082,0.043115907817125904,0.0358033300289154,0.026112446103588174,0.03201420376864359
2006,33.75247524752475,11.620796198644436,0.5608840251298756,0.13680474096510048,6.2857837821589575,2.503095055737806,2.7573173252997814,4.079430174383923,0.043018475561668434,0.04727520166152928,0.025002542817587202,0.03039505255142722
2007,35.005,11.575618763104789,0.6086288915472258,0.1309753437580795,6.69575578015831,2.3950580255839644,2.8930379746835446,4.061120620062043,0.05212259028035891,0.04880066949528687,0.027099496856169924,0.042883911778733956
2008,36.620535714285715,9.223859083558121,0.5972872116439423,0.1055254719627566,6.6356509797059475,2.0453669736810736,2.855465462402636,4.347874196927475,0.04230890991866298,0.032523535779016705,0.038908052270616895,0.03508424967411596
2009,35.85616438356164,11.076112637028523,0.5931231175855968,0.13215514810076442,6.699478762025471,2.6975802359761776,2.8357958909370202,3.891112367836498,0.04759589222865227,0.043011572017897695,0.03441488774725345,0.03210864164028682
2010,37.83150183150183,9.925873995495065,0.5960726326755676,0.09985670940986316,6.652326366120439,1.993226328997098,3.35995045036141,4.036794136371457,0.04922144189800114,0.03686193720306115,0.03899167352316358,0.06808170284429575
2011,38.89310344827586,9.482032947252968,0.5923463102992809,0.10060608410977434,7.021443874381648,2.0076560233100005,3.40576287285148,4.0472872498868036,0.04927185945138092,0.036045731177710295,0.032650128302542984,0.0298665126962046
2012,39.1125,10.32997130731889,0.5943704199198976,0.10251851211779313,6.590404013570437,1.808701952046823,3.323789776598765,3.832508689758417,0.046778009760760485,0.03501961502584599,0.03160099969732457,0.03151691099085329
2013,39.671140939597315,10.7163885023014,0.5914487922705263,0.10105791861020687,6.622728579895451,2.0120070333418103,3.5876170010545025,4.274242788141356,0.04544833831992687,0.033820842694422995,0.03488786103384568,0.03295585381516837
2014,38.059233449477354,10.771951571980216,0.605971411334808,0.11578916435928802,6.692945302661423,2.0482986681271806,3.463130568244614,3.85944897319196,0.047807836813579065,0.037506997360575785,0.037645464124837276,0.12051759798336162
2015,39.79136690647482,10.226302055019168,0.6072126728699487,0.09113227705560517,6.766642612254547,1.9119170972485515,3.649681183014517,4.032384255201689,0.04666884718351713,0.034221848543518486,0.031281342328628975,0.03345205710352796
2016,39.52066115702479,10.38279711395755,0.6061435859599882,0.10491132319326803,6.775227751927782,1.8431964207534317,3.243001443001444,3.786424839345256,0.044946089041629694,0.035880127609789134,0.030177709155037254,0.0306530135657291
2017,38.724444444444444,9.647565282132886,0.5974686232966474,0.10248744230114215,6.3947024337764455,1.9041846752413623,3.568323373486418,6.25220083239492,0.04299921471868809,0.02912288076324599,0.03062149829904894,0.03541162972407923
2018,38.92462311557789,10.659057263716159,0.6243084503062555,0.09457504818714553,6.797434452906586,2.067591718335406,3.732819838648058,4.037416259269998,0.04985215252597519,0.03600687515873858,0.03202856099008591,0.07392055322183669
2019,39.78260869565217,11.570588430328034,0.6221883832649195,0.10872617565043421,6.869714081407571,2.0719330341977584,3.1219994430520743,3.4555668821899475,0.04173040226312136,0.036767987149250524,0.033036162698475174,0.033709435973103156
